Reviewer,Review
arcticantipodean,"PIAC lost my baggage on January 2, 2020 on PK786/894, LHR-ISB-KUL. The baggage never arrived in KUL. PIAC have taken no action to pay me the compensation I am owed and have remained uncommunicative in the ten months since this incident. Absolutely the worst airline I have ever dealt with in over 30 years of travelling around the world."
Haseeb,"I was very happy when I planned my vacation and thought to surprise my family.. but unfortunately when I went to the airport I found out flight is delayed for 4 hours. Flight took off around 6pm Pakistan time so it was not surprise anymore because I have to inform my family members as I was arriving very late at night. Secondly no social distance was maintained and 777 was totally full with passengers. Third thing Air condition was on its full speed and it was chilling in the plane, cannot understand that in summer AC doesn’t work or they don’t switched it ON and in winters it was on full speed. I requested Cabin crew couple of times and every time they told me the same answer that yes we will reduce now but did nothing. Finally I took out my jacket from my hand carry luggage and managed to cover myself for the rest of the flight duration. Cabin crew Age was almost the age of my parents and Male cabin crew specially was so unprofessional, looks like they are at that stage of their career when they don’t give a damn about anything like take it or leave it. At the end my I would clearly mention that my purpose is not to disregard my National carrier but until when these things will be stopped?? I would really request Mr. Arshad Malik to save our national carrier from this disaster service. Look into these kind of matters, why flight is delayed every single time we travel with PIA? Why Cabin crew are so unprofessional? Why we can’t be proud of our National airline? Being honest this is my last time I travelled with PIA and will stick to my decision until these kind of stupid issues will not be resolved."
Mina S,"This is the worst airline in the world. It took me $4,000 to get them to book an ECONOMY FLIGHT. In the middle of a pandemic. where other airlines are being accommodating PIA is seeing this as a business opportunity and up-selling everything."
Sean,One of the worst customer service I heard a crew member calling a passenger a bastard. I was shocked drinks limited seats has dust on them. No entertainment Very unsafe plane to travel on. Alot of passengers were complaining but staff just never take notice very ignorant. I even took an interview from them on my phone. For desperdaise channel. Habib Mirza
Hamza,"Dangerous flight, asked for blanket was told they ran out asked for water told it was run out what kind of service is this"
Ahad M,"This was the worst experience with an airline that I have ever had in my entire life. Going to be quick and say,"" DO NOT BOOK ON THIS AIRLINE!!!"" WHY? because inside their planes the TV does not work, food is terrible and workers are very rude. The worst thing that they did is tell me 5 days prior to out flight that it has been cancelled then later we got a phone call from our travel agent who said that the flight wasn't cancelled but our seats were. So they took our seats that we booked 6 months ago and gave it to someone else for double the price. THEY SCAMMED US!!! THE ACTUAL PIA SCAMMED US. So what should you guys do? go with any other airline even if it takes 50 hours longer still these idiots aren't worth it!!!"
Assassin S,Worst airline. i hope government ban this stupid airline. The title should be change from come fly with us to come die with us.
Bismah Saif,"Reasonable fare, good in flight service, landing and take off on time. Provides direct trips to most destinations is a best part. Pakistan Zindabad."
Dua,"If you wanna alive so dont travel in PIA flights, even in domestic flight also. Conditions of aeroplanes are so poor so better to avoid flight in PIA. Your life is important dont make your life in trouble and the evidence is in front of our eyes,3 horrible plane crashes and today's one happened from lhr to khi airline flight. So be safe and be happy and avoid journey in PIA."
Zan H,"hi every one just want to let you all know I been trivel in PK-8757 pia airways in may 2020 was not save flight at all fill like thay not going to make it to London Heathrow airport that how Fill's like bet thanks to god it's when all OK thay have change me to much and pia airways was solo durty from in side it's was full off shirt & staff was not helpful at all staff was so rude,I only stay in airways I have to see my family and kids thay way other way I will get out pia air ways naver have this expected this at all thay service was sloop down and air bus was seats was full off 💩 helt off pia air bus like any time will drop down I was just been playing all the time god get me home save thanks god we make it save to London I don't understand how gourmands let tham fly not safety at all for pasngers....."
